"Follow @NotMrTibbs",,"Public Ballots:",,192,,,Plus,7,,"% of Ballots Known:",,45.7%,,,Votes per Revealed Ballot:,,,8.66,"1,723.00",,,,,,,,,,,,,,,,"_Click toExpand/Retract",LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Anonymous Ballots",,,"Estimated Ballots Cast: 435Estimated Votes Needed for 75%: 327",,,,,Votes per Non-Public Ballot:,,,7.06,7.06,,,,,,,,,,,,,,,,,First Time on Ballot,,"Gained Vote - Voter did not vote for player last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Gosselin,x,x,x,,x,,x,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,Dallas Morning News,1/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Graham,x,x,x,x,x,,x,,,,x,,x,,,x,,,x,,,,,,,,,,,,,,,,10,Twitter,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mussina, Schilling",,
Evan Grant ,x,x,x,x,x,,x,,x,,x,,x,,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Greenberg,x,,,x,x,,x,,x,,x,,,x,,x,,,,,,,,,,,,,,,,,,,8,DM via Randy Miller,1/8/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Greenwood,x,x,x,x,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,8,Twitter,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scot Gregor,x,,,x,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,6,Daily Herald,12/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Griffin,x,x,x,x,x,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,8,Toronto Star,1/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karen Guregian,x,,,x,x,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,7,Email,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hale,x,x,x,x,,,x,,x,,,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raines,,
John Harper ,x,,,x,x,x,x,x,x,,x,,,x,,,,x,,,,,,,,,,,,,,,,,10,MLB Network ,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Harrington ,x,x,x,x,,,x,x,x,,x,,x,,,,,,x,,,,,,,,,,,,,,,,10,Buffalo News,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoffman, Schilling",,
Ian Harrison,x,,,x,x,,,,x,,x,,x,x,,x,,x,x,,,,,,,,,,,,,,,,10,Twitter,12/24/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Hayes,x,x,x,,x,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/24/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Joe Henderson ,x,x,x,x,x,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,10,Facebook,12/13/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn Henning (abstained last 2yr) ,x,x,x,,,x,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,9,Detroit News,11/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Herrmann ,x,,,x,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,6,Newsday,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Herzog ,x,x,x,x,x,,x,,,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mussina, Wagner",,
Jon Heyman ,,x,,x,x,,x,x,x,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Fanrag Sports,1/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Hilt,x,,,x,x,,x,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,8,DM (via Randy Miller),1/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Hohler,x,,,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,6,Boston Globe,1/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garry D. Howard,x,x,x,,x,,,,x,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,9,Facebook,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Hoynes,x,,,x,x,,x,x,x,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,10,Cleveland.com,1/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Jacobs,x,x,x,x,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,9,Hartford Courant,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Jenkins,,x,x,x,x,,x,,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,9,SF Chronicle,12/2/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Justice,x,x,x,,x,,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,10,Email ,12/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad, Smith (+2-3 others) ",,
Tim Kawakami,x,x,x,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,9,SJ Mercury News,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Keegan,x,x,x,x,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,KU Sports,1/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kernan,x,x,x,,x,,x,x,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,10,Instagram,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Klapisch,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kent, Sosa",,
Danny Knobler,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Bleacher Report,12/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,
Dejan Kovacevic,x,,,x,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,6,DK Pittsburgh Sports,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Kreidler,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,3,DM,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Krieger (will be last ballot),x,,,x,x,x,x,,x,,x,,,,x,,,x,x,,,,,,,,,,,,,,,,10,BlitzKrieg Blog,12/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schilling,,
Roch Kubatko ,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Twitter,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wagner, Walker, (Schilling?)",,
Gabe Lacques,x,x,x,x,x,,,,,,x,,x,x,x,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Lancaster,x,x,x,x,x,,x,,,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,Yahoo Sports,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lariviere ,x,,,x,x,,,x,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,9,Email ,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Lauber ,x,x,x,x,,,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,10,Facebook,12/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoffman, (Walker?)",,
Gil LeBreton,x,x,x,,x,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,1/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Mike Lefkow,x,x,x,x,x,x,,,,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,Facebook,1/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lennon,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Liao ,x,x,x,,x,,x,,,,x,x,x,x,,,,x,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Bernie Lincicome ,x,x,x,x,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,7,Chicago Tribune,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thom Loverro ,x,,,x,x,x,x,x,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,9,Washington Times,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Maaddi,x,x,x,,x,x,,,,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,,10,Email ,1/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad, Mussina, Manny, Pudge, Schilling",,
Jack Magruder,x,x,x,x,x,,,,,,x,x,x,,x,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Marcus ,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Newsday,12/14/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Maril,,x,x,x,x,,,,x,,,x,x,,,,x,,,,,,,,,,,,,,,,,,8,DavidMaril.com,12/2/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Martone ,x,x,x,,,,x,,x,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,9,Email ,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Massarotti,,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,5,Radio show 11/22/16,11/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack McCaffery (Rose write-in) ,x,x,x,x,x,,,,,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,9,Twitter,11/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janie McCauley ,x,x,x,x,x,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,Email ,12/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe McDonald,x,x,x,x,,,x,,x,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/22/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Mellinger,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/17/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Bruce Miles,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Daily Herald,12/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Miller ,x,,,x,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,5,NJ.com,1/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Miller,x,,,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,8,Bleacher Report,1/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Modesti (did not vote last yr),x,x,x,x,x,,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,10,Twitter,1/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Molony,x,,,x,x,x,x,,,,x,x,x,,,x,,,,,,,,,,,,,x,,,,,,10,Twitter,12/9/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schilling ,,
Roger Mooney,x,x,x,x,x,,x,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,DM,1/13/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terence Moore,x,,,x,x,,,x,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,8,MLB.com,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelio Moreno,x,x,x,x,x,,x,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Morosi,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,MLB.com,12/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,
Rick Morrissey ,,,,,x,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,4,Chicago Sun Times,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Myers,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Email ,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schilling, McGriff, Walker",,
Mike Nadel,x,x,x,x,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,7,The Baldest Truth,12/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Newman,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Sports on Earth,12/13/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Nightengale,x,x,x,x,x,,,x,,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,10,USA Today,1/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian O'Connor,x,x,x,x,x,,,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgar, Walker",,
Drew Olson ,x,x,x,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,9,The Big 1070,1/13/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose de Jesus Ortiz ,x,x,x,x,x,x,,,,,x,,x,,,x,,x,,,,,,,,,,,,,,,,,10,Twitter,11/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mussina,,
Bob Padecky,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,3,Facebook,12/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Padilla,x,x,x,x,x,,x,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Passan,x,x,x,x,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,Jeff Passan,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Peek,x,,,x,x,x,x,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,Email,1/12/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Perkins,x,x,x,x,,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,7,Radio,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Peticca,x,,,x,x,x,x,x,x,,x,,,x,,,,,x,,,,,,,,,,,,,,,,10,DM,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pietruszkiewicz,x,x,x,x,x,,x,,,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Plumlee,x,x,x,x,,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,Email,12/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Plunkett,x,,,x,x,x,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,8,Email ,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Politi,x,x,x,,x,x,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,10,NJ.com,12/5/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad, McGriff, Manny",,
Steve Popper,x,x,x,x,,,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Priestle ,x,x,x,x,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheffield, Walker",,
Mike Puma,x,x,x,x,,,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,10,Twitter,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Rains,x,,,,x,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,5,Twitter,1/11/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Reeves (didn't vote last 2yrs),x,,,x,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,5,Facebook,1/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Renck,x,,,x,x,,x,,x,,x,,x,x,,x,,,x,,,,,,,,,,,,,,,,10,Twitter,1/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Reynolds ,x,,,x,x,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,9,Journal Star Podcast,12/9/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracy Ringolsby,x,x,x,,x,,,x,x,,x,,x,,,x,,,x,,,,,,,,,,,,,,,,10,Twitter,1/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Roberts,x,x,x,x,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,DM,12/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoffman,,
Phil Rogers,x,,,,,,,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,6,MLB Network TV,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Romano (did not vote last yr),x,x,x,,,,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,DM,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Trent Rosecrans ,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad, Sosa",,
Ken Rosenthal,x,x,x,,x,,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,10,Fox Sports,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad (+Walker, McGriff, Kent, Sheffield, Smith?)",,
Barry Rozner,x,x,x,,x,x,,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,Daily Herald,12/17/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Rubin,x,x,x,x,x,,x,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,10,Adam Rubin,11/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Rubin,x,x,x,x,x,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,8,Twitter,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Ryan,x,,,x,,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,7,Boston Globe,1/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Saxon ,x,x,x,x,,x,x,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Schultz (will be last ballot),x,,,x,x,,x,x,x,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,10,AJC,12/24/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Schwarz,,,,x,x,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,5,Email,1/9/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Shalin ,x,x,x,x,,,x,,x,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,10,Twitter,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Shaughnessy,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,2,Boston Globe,1/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Shelton (did not vote last yr) ,x,x,x,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,7,Gary Shelton Sports($),12/18/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Silverman,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Boston Herald,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Steve Simmons ,x,,,x,x,,x,,x,,x,,x,x,,x,,,x,,,,,,,,,,,,,,,,10,Twitter,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claire Smith,x,x,x,x,x,,x,,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,10,Twitter,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Smith (did not vote last yr),,x,x,,,,x,,x,,x,x,x,,,x,,x,,,,,,,,,,,,,,,,,9,DM,1/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Smizik,x,x,x,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,6,Email,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Spencer (did not vote last yr) ,x,,,x,x,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,9,Twitter,1/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnie Stapleton,x,,,x,x,,x,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,9,Twitter,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
