,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,"Nomar Garcia-parra",Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,"Will no longer reveal ballots:Bob Smizik, Patrick Reusse (?), Mike Downey, Gene Collier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voters who shared ballots, but aren't on BBWAA's list of received/counted ballots: Steve SerbyJohn Lopez",,,,,,,,,,,,,,,,,,,,,,,,,,
% on Public Ballots,,0.00%,60.73%,85.80%,39.27%,0.30%,0.00%,39.27%,2.11%,0.00%,0.00%,0.00%,2.42%,0.00%,0.30%,0.00%,99.09%,13.90%,27.49%,98.19%,6.65%,12.69%,9.37%,0.00%,30.21%,0.30%,75.23%,60.12%,45.62%,0.00%,10.27%,25.08%,87.92%,5.14%,25.08%,8.76%,"4,623.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejan Kovacevic,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,1,,1,,,,9,http://bit.ly/1vBeFy6,1/2/15,,0,0,13,13,9,0,9,0,7,7,7,7,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,74,96,23,19,15,15,9,0,7,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,Pittsburgh,
Mark Kreidler,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,4,Via DM,12/28/14,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,4,72,23,19,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Dave Krieger,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,1,1,10,http://bit.ly/1BzwGSx,12/13/14,,0,0,13,13,9,9,9,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,88,23,19,15,0,9,7,7,5,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,Colorado (H),
Roch Kubatko,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,1,1,,1,,10,http://bit.ly/1Aq9MwX,1/6/15,,0,0,13,13,9,9,9,7,0,0,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,98,23,19,15,15,9,7,7,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,Baltimore-DC (H),
Tim Kurkjian,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://es.pn/1rU0d92,1/4/15,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,23,19,15,15,9,0,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Baltimore-DC,
Gabe Lacques,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,1,,1,,1,,10,http://bit.ly/13Vo5y3,1/1/15,,13,13,13,13,9,0,9,7,0,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,98,23,19,15,15,9,0,7,0,5,5,0,0,3,0,0,0,0,2,0,0,0,0,0,Baltimore-DC,
Marc Lancaster,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,,1,,,,1,,1,1,10,http://bit.ly/1xuYcCK,12/30/14,,0,0,13,13,9,9,0,7,7,0,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,96,23,19,15,15,9,7,0,5,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,Baltimore-DC,
David Lariviere,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,,,,1,1,1,,,,10,http://onforb.es/1x9f2DL,12/23/14,,0,0,13,13,9,9,0,0,0,7,7,7,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,94,23,19,15,15,9,7,0,0,0,0,3,0,0,3,0,2,0,2,0,0,0,0,0,New York,
Mike Lefkow,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,1,,,,,,,,,1,1,,,,10,http://on.fb.me/13EpcSF,12/24/14,,13,13,13,13,0,9,0,0,0,0,7,7,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,92,23,19,15,15,0,7,0,0,5,5,3,0,0,0,2,0,0,0,1,0,0,0,0,SF-Oakland,
David Lennon,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,Ross Carey Podcast,12/30/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,23,19,15,15,9,0,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Thom Loverro,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,,,,,,1,,1,,9,12/5 Podcast + Column Clarifies,12/19/14,,0,0,13,13,9,9,0,7,0,7,7,7,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,74,94,23,19,15,15,9,7,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,Baltimore-DC,
Rob Maaddi,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,1,,,10,http://bit.ly/1xM1tuu,1/5/14,,13,13,13,13,9,0,0,0,7,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,98,23,19,15,15,9,7,0,5,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,Philadelphia ,
Bill Madden,,,,1,,,,,,,,,,,,,1,1,,1,,1,,,,,,,1,,,,1,,,,7,http://nydn.us/1AzWRtJ,1/6/15,,0,0,13,13,0,0,0,0,7,0,7,7,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,43,81,23,19,15,15,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,New York,
Dennis Maffezzoli,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1s1VrGz,1/6/15,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,23,19,15,15,9,0,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Tampa,
Jack Magruder,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,1,,1,,,1,10,http://bit.ly/16YiEjH,12/28/14,,13,13,13,13,9,9,0,0,0,0,7,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,93,23,19,15,15,9,0,0,0,5,5,0,0,0,0,0,0,2,2,0,0,0,0,0,Arizona,
Dennis Manoloff,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,9,http://bit.ly/1w0RQDW,1/6/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,80,100,23,19,15,15,9,7,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Cleveland,
Steven Marcus,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,3,http://nwsdy.li/1xLKtEw,1/5/15,,0,0,13,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,-49,-16,57,23,19,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Michael Martinez,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,5,http://bit.ly/1KcBZge,1/4/15,,0,0,13,13,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,13,61,23,19,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,LA-Anaheim,
Tony Massarotti,,,,,1,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,5,"His radio show, 12/23, Hour 3",12/23/14,,13,13,13,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,31,55,23,19,0,0,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,Boston,
Jack McCaffery,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,,1,,1,,9,10 w/Rose http://bit.ly/1yQcfAV,12/3/14,,13,13,13,13,9,0,0,7,0,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,85,94,23,19,15,15,9,0,0,0,5,5,0,0,3,0,0,0,0,0,1,0,0,0,0,Philadelphia ,
Anthony McCarron,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://nydn.us/1AzWRtJ,1/6/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,New York,
John McGrath,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1SsW97U,12/24/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Seattle,
Ivy McLemore,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,,,,,1,,,,9,Via email,1/2/15,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,85,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,Houston,
Fred McMane,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,,1,,,,1,,,,10,Facebook,12/25/14,,13,13,13,13,9,9,0,0,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,96,23,19,15,15,9,0,0,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Stan McNeal,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,8,http://foxs.pt/1xL9Ia7,1/5/15,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,70,100,23,19,15,15,9,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Louis,
Bernie Miklasz,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,10,via DM,12/30/14,,13,13,13,13,9,9,9,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,23,19,15,0,9,7,7,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,St. Louis,
Bruce Miles,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,1,1,,1,,10,http://bit.ly/1Ka22EM,1/3/15,,0,0,13,13,9,9,9,7,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,100,23,19,15,15,9,7,7,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,Chicago,
Randy Miller,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,1,,1,,,,1,,,,8,http://bit.ly/1HtbGA9,1/4/15,,0,0,13,13,9,9,0,0,7,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,64,95,23,19,15,15,9,7,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Philadelphia (H),
Scott Miller,,,,1,,,,,,,,,,,,,1,1,,1,,1,,,1,,,1,,,,,1,,1,,9,http://ble.ac/17djF7x,1/5/15,,0,0,13,13,0,0,9,7,0,7,7,7,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,67,92,23,19,15,15,0,7,7,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,San Diego,
Fred Mitchell,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,1,1,1,,,,10,http://trib.in/1zJsJrv,1/2/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,93,23,19,15,15,9,0,7,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,Chicago,
Wayne Monroe,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,,5,http://bit.ly/1xxPwtD,12/31/14,,0,0,13,13,9,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,69,23,19,0,15,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Honorary,
Roger Mooney,,,,1,,,,,,,,,,,,,1,,1,1,,1,,,,,1,1,1,,,,1,,1,,10,http://bit.ly/1wQgYgN,1/5/15,,0,0,13,13,9,0,9,7,7,0,7,7,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100,23,19,15,15,9,7,7,5,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,Tampa,
Terence Moore,,,,1,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,1,1,1,,,,8,http://atmlb.com/13UqbxC,1/5/15,,0,0,13,13,0,0,9,0,0,0,7,7,0,0,0,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,52,91,23,19,15,15,0,7,7,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,Atlanta,
Aurelio Moreno,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,,1,1,,,9,http://bit.ly/1CCAupe,12/24/14,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,80,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,Miami,
Carrie Muskat,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,1,,1,,7,http://atmlb.com/13UqbxC,1/5/15,,0,0,13,13,0,0,9,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,54,87,23,19,15,15,0,0,7,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Chicago,
Gene Myers,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,,1,,,,1,1,,1,,10,http://on.freep.com/1tpHCTh,12/27/14,,0,0,13,13,0,9,9,7,0,7,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,88,23,19,15,15,0,0,7,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,Detroit,
Mike Nadel,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,1,,10,http://bit.ly/1zgbP3v,12/23/14,,0,0,13,13,9,9,9,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,96,23,19,15,15,9,0,7,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,Chicago (H),
Ross Newhan,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/13D2Yjm,12/28/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,96,23,19,15,15,9,0,7,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,LA-Anaheim,
Mark Newman,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,7,http://atmlb.com/13UqbxC,1/5/15,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,66,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Bob Nightengale,,,1,1,1,,,1,,,,,,,,,1,,,1,,1,,,,,1,,,,1,,1,,,,10,http://usat.ly/1AgV1z0,1/5/15,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,0,2,0,2,0,0,0,0,0,Arizona,
Marty Noble,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,3,http://atmlb.com/1AS5UUn,12/20/14,,0,0,13,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,-49,-16,64,23,19,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Eric Nunez,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1vEMFKQ,12/30/14,,13,13,13,13,9,9,9,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,0,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,New York,
Ian O'Connor,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://es.pn/1rU0d92,1/4/15,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,New York/ESPN,
Pres. Jose de Jesus Ortiz,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1zeBIWp + http://bit.ly/1B9xQmW,12/19/14,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,100,23,19,15,15,9,7,7,0,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,Houston,
Rob Parker,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,,,,,1,1,1,1,,,10,http://bit.ly/1zOXwmR,1/5/15,,13,13,13,13,0,0,0,0,0,0,7,7,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,92,23,19,15,15,0,7,0,0,5,5,3,0,0,0,0,0,0,2,1,0,1,0,0,Detroit (H),
Peter Pascarelli,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,,,9,http://es.pn/1rU0d92,1/4/15,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,92,98,23,19,15,15,9,0,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Jeff Passan,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1wnkuTc,12/12/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas City,
John Perrotto,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,,,1,,,,,1,10,http://bit.ly/1AdWF4p,1/4/15,,13,13,13,13,9,9,0,0,0,7,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,81,23,19,0,15,9,0,0,0,5,5,0,0,0,3,0,0,2,2,0,0,0,0,0,Pittsburgh,
Nick Pietruszkiewicz,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,7,http://es.pn/1rU0d92,1/4/15,,0,0,13,13,9,0,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,53,91,23,19,15,15,9,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,ESPN,
Rick Plumlee,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,1,1,,1,,9,http://bit.ly/1wGr9t7,12/17/14,,0,0,13,13,0,9,9,7,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,72,90,23,19,15,15,0,0,7,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,Kansas City,
Steve Popper,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/1xIcYW5,12/23/14,,13,13,13,13,9,9,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,96,23,19,15,15,9,0,0,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,New York,
Joe Posnanski,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1xLT90S,1/5/15,,13,13,13,13,9,9,9,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,23,19,15,0,9,0,7,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,Kansas City,
Scott Priestle,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1sPQnpB,12/19/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Cleveland (H),
Mike Puma,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,6,http://bit.ly/1FcxjXz,1/5/15,,13,13,13,13,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,52,83,23,19,15,0,9,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Mark Purdy,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,,,,,5,http://bit.ly/1HCoTGN,1/5/15,,0,0,13,13,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,18,74,23,19,0,15,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Troy Renck,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,1,,1,,10,http://bit.ly/1wSjtzl,1/6/15,,0,0,13,13,9,9,9,7,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,96,23,19,15,15,9,0,7,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,Colorado,
Anthony Rieber,,,,1,1,,,1,,,,,,,,,1,1,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/17fmKE2,1/6/15,,13,13,13,13,9,0,0,0,7,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,98,23,19,15,15,9,7,0,5,5,5,0,0,0,3,2,0,0,0,0,0,0,0,0,New York,
Tracy Ringolsby,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,1,,10,http://bit.ly/1wbu3m2,1/5/15,,13,13,13,13,9,9,9,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,23,19,15,15,9,0,7,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,Colorado,
Brendan Roberts,,,1,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,1,,,,,,,,10,http://es.pn/1rU0d92,1/4/15,,13,13,13,13,9,9,9,0,7,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,90,23,19,0,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,Honorary,
Lawrence Rocca,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,2,http://bit.ly/1wTqQXj,1/5/15,,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,-64,-48,17,0,0,0,0,0,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,New York,
Phil Rogers,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,1,,10,http://bit.ly/1t1QChe,12/22/14,,0,0,13,13,9,9,9,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,96,23,19,15,15,9,0,7,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,Chicago,
C. Trent Rosecrans,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,1,10,http://cin.ci/1B5JDTf,12/24/14,,13,13,13,13,9,9,9,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,80,23,19,0,0,9,7,7,5,5,5,0,0,0,3,0,0,2,0,0,0,0,0,0,Cincinnati ,
Ken Rosenthal,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://foxs.pt/1x9YU8k,12/21/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,96,23,19,15,15,9,0,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Baltimore-DC,
