"Follow @NotMrTibbs",,,,"Public Ballots:",,,,306,,,Plus,,,4,,,,"% of Ballots Known:",,70.5%,,,,,Votes per Public Ballot:,,,,,8.23,2550,,,LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Anonymous Ballots",,,,,,,Total Ballots Cast: 440,,,,,,,Votes per Non-Public Ballot:,,,,,7.28,7.276923077,,,First Time on Ballot,,"Gained Vote - Voter did not vote for player last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Padecky,,,1,,,,,,,,1,,,1,,1,,,,,,,,,,,,,1,,,,5,Email,1/5/16,,0,13,0,0,0,0,0,19,13,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,56,56,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Doug Padilla,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://es.pn/1OMHFmi,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Rob Parker,,,,1,,1,,,,,1,,,1,,,,,,1,,,,,1,1,1,,,,,,8,http://bit.ly/1mvd5kV,1/4/16,,0,0,8,8,0,0,0,19,13,0,0,0,0,2,0,0,0,0,2,6,1,0,0,0,59,59,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,,
Peter Pascarelli,,,1,1,,1,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,6,http://es.pn/1OMHFmi,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,74,74,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Jeff Passan ,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,,,,,9,http://bit.ly/1NQ4JhP,11/13/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,,
Dave Perkins,,,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,,1,,8,http://bit.ly/1QXTtlU,12/29/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,0,16,13,0,0,0,0,8,0,3,88,88,,,,,,,,,,,,,,,,,,,,,,,,,Toronto,,
John Perrotto,,,1,1,,1,,,,,1,,,1,,,,,,,1,1,,1,1,,,,,,1,,10,http://bit.ly/1OayZ3q,1/6/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,8,16,0,10,2,0,0,0,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,,
Mike Peticca,,,1,,,,,1,,,1,,,,,1,,,1,,1,,1,1,,,,,1,,1,,10,DM,12/21/15,,0,13,0,0,0,0,0,19,0,0,3,0,4,0,8,0,13,10,0,0,0,8,0,3,78,78,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Nick Pietruszkiewicz,,,,,,,,,,,1,,,1,,,,1,,,,1,1,,,,,,,,,,5,http://bit.ly/1PKR6l3,12/22/15,,0,0,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,0,0,0,0,0,0,0,69,69,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Rick Plumlee,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,1,,,,,1,,1,,10,Email,12/15/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,,
Steve Politi,,,1,1,,1,,,,,1,,,1,,1,,,1,,1,1,1,,,,,,,,,,10,http://bit.ly/1TKYQ5p,12/14/15,,0,13,8,8,0,0,0,19,13,0,3,0,4,0,8,16,13,0,0,0,0,0,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Steve Popper,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,,1,,,10,http://bit.ly/1OxJth0,12/23/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,0,2,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Joe Posnanski,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://bit.ly/1ZeBvLf,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Scott Priestle,,,1,1,,1,,,,,1,,,,,,,1,,1,1,1,1,1,,,,,,,,,10,http://bit.ly/1Ji5Q9P,12/31/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,2,8,16,13,10,0,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,,
Mike Puma,,,,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,4,http://bit.ly/1Oz6Kiv,1/5/16,,0,0,8,8,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,51,51,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Rob Rains,,,1,,,,,,,,1,,,1,,,,,,,,1,1,,,1,,,,,,,6,http://bit.ly/1OaR0P5,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,6,0,0,0,0,80,80,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Troy Renck,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,1,,1,,10,http://dpo.st/1OInaVX,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,8,0,3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Colorado ,,
Anthony Rieber,,,,1,,1,,,,,1,,,1,,1,,,,,1,1,,1,,,,,,,,,8,http://bit.ly/1OA4OGw,1/6/16,,0,0,8,8,0,0,0,19,13,0,3,0,0,0,8,16,0,10,0,0,0,0,0,0,85,85,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Tracy Ringolsby ,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,,,1,,,1,,1,,10,http://bit.ly/1OdTbqu,12/18/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,6,0,8,0,3,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Colorado ,,
Brendan Roberts,,,1,1,,1,,,,,1,,,1,,,,,,1,1,1,1,1,,,,,,,,,10,http://es.pn/1OMHFmi,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Phil Rogers,,,1,,,,,,,,1,,,,,,,,,,1,1,1,1,,,,,1,,1,,8,http://bit.ly/1m6Zxf7,12/23/15,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,8,0,3,90,90,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
C. Trent Rosecrans,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,1,,,,,1,,1,,10,http://cin.ci/1Odz0al,12/25/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
Ken Rosenthal,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://foxs.pt/1mmbc9v,12/28/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
Barry Rozner,,,1,1,,,,,,,1,,,1,,1,,,,,1,1,1,1,,1,,,,,,,10,http://bit.ly/1ZuMeDf,12/26/15,,0,13,8,0,0,0,0,19,13,0,3,0,0,0,8,16,13,10,0,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Adam Rubin,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,1,,1,,,1,,,,10,http://bit.ly/1N0lzfe,11/12/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Roger Rubin,,,1,,,,,,,,1,,,1,,,,1,,,,1,,1,,,,,,,,,6,http://bit.ly/1YRvdRq,12/29/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,0,10,0,0,0,0,0,0,79,79,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Joe Rutter,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,,,,,,,,,,7,http://bit.ly/1mD2Afr,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,90,90,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,,
Bob Ryan,,,1,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,,1,,,,9,http://bit.ly/1Rvsayc,12/5/15,,0,13,0,0,0,0,0,19,0,0,3,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Mark Saxon,,,1,1,,1,,,,,1,,,,,1,,,,,,1,1,,,,,,,,,,7,http://es.pn/1OMHFmi,1/6/16,,0,13,8,8,0,0,0,19,0,0,3,0,0,0,0,16,13,0,0,0,0,0,0,0,80,80,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Jeff Schultz,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,1,,,1,1,,,7,Email,12/9/15,,0,0,0,0,0,0,0,19,13,0,0,0,4,0,0,0,13,0,0,6,0,8,2,0,65,65,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,,
Mike Shalin,,,1,1,,1,,,,,1,,,1,,,,1,,,,1,1,1,,1,,,,,,,10,http://bit.ly/1Tg4cpn,12/22/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Dan Shaughnessy,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,4,http://bit.ly/1JezcAz,12/17/15,,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,13,10,0,0,0,8,0,0,50,50,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
John Shea,,,1,1,,1,,,,,1,,,1,,1,,,,,,1,1,,,1,,,1,,,,10,http://sfchron.cl/1Rfd9Cb,1/5/16,,0,13,8,8,0,0,0,19,13,0,3,0,0,0,0,16,13,0,0,6,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Joel Sherman,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://nyp.st/1Sb0EHC,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Michael Silverman,,,1,1,,1,,,,,1,,,,,,,1,,1,1,1,1,1,,,,,,,,,10,http://bit.ly/1QNjft6,12/25/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,2,8,16,13,10,0,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Steve Simmons,,,1,,,,,,,,1,,,1,,,,1,,,,1,1,,1,1,,,,,1,,9,http://bit.ly/1RL3t10,12/12/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,0,2,6,0,0,0,3,91,91,,,,,,,,,,,,,,,,,,,,,,,,,Toronto,,
Tom Singer,,,1,1,,1,,,,,1,,,1,,1,,1,,,,1,,,1,1,,,,,,,10,http://bit.ly/1jYFzRI,12/14/15,,0,13,8,8,0,0,0,19,13,0,3,8,0,0,0,16,0,0,2,6,0,0,0,0,91,91,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Susan Slusser,,,1,,,,,,,,1,,,1,,,,,,,1,1,1,1,,,,,,,,,7,Email,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,0,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Claire Smith,,,,1,,1,,,,,1,,,1,,,,1,,,,,,1,,1,,,,,,,7,http://bit.ly/1ONIghc,1/6/16,,0,0,8,8,0,0,0,19,13,0,0,8,0,0,0,0,0,10,0,6,0,0,0,0,72,72,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Lyle Spencer,,,1,,,,,,,,1,,,1,,,,,1,,1,1,1,1,,,,,1,,1,,10,http://atmlb.com/1kGljoj,1/4/16,,0,13,0,0,0,0,0,19,13,0,0,0,4,0,8,16,13,10,0,0,0,8,0,3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Barry Stanton,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,4,http://es.pn/1OMHFmi,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,58,58,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Arnie Stapleton,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,1,,,1,,,,10,http://bit.ly/1TmI4K1,12/28/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Colorado ,,
Jayson Stark,,,1,1,,1,,,,,1,,,1,,,,1,,,,1,1,1,,,,,,1,,,10,http://es.pn/1OMHFmi,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,0,0,0,2,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Carl Steward,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,1,,1,,,1,,,,10,http://bit.ly/1Iclj5h,11/23/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Larry Stone,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://bit.ly/1TdCj1i,12/21/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Seattle ,,
Paul Sullivan,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,3,http://trib.in/1IJ2dd4,1/1/16,,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,38,38,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
TR Sullivan,,,1,1,,1,,,,,1,,,,,,,,1,,1,1,1,,1,,,,1,,,,10,Comment #92,11/24/15,,0,13,8,8,0,0,0,19,0,0,0,0,4,0,8,16,13,0,2,0,0,8,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,
Rick Telander(did not vote in '15),,,1,,,,,,,,1,,,1,,,,1,,,1,,1,1,,1,,,1,,,,9,http://bit.ly/1OEErOd,12/1/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,0,13,10,0,6,0,8,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
John Tomase,,,1,1,,1,,,,,1,,,,,,,1,,1,,1,,1,1,,,,1,,,,10,http://bit.ly/1J2y9sy,12/21/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,2,0,16,0,10,2,0,0,8,0,0,90,90,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Marc Topkin,,,1,1,,1,,,,,1,,,1,,,,,1,1,,1,,,1,1,,,,,,,10,http://bit.ly/1Sl7Ujn,12/29/15,,0,13,8,8,0,0,0,19,13,0,0,0,4,2,0,16,0,0,2,6,0,0,0,0,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,
Mike Vaccaro,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://bit.ly/1J0G2i9,12/19/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Juan Vené,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,,,,,,,4,Email,12/6/15,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,54,54,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Tom Verducci,,,1,,,,,,,,1,,,1,,1,,,1,,,1,1,1,1,,,,,,,,9,MLB Network,1/6/16,,0,13,0,0,0,0,0,19,13,0,3,0,4,0,0,16,13,10,2,0,0,0,0,0,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Vorva,,,1,,,,,,,,1,,,1,,,,1,,,,1,,1,,1,,,1,,1,,9,http://bit.ly/1OHmyQu,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,0,10,0,6,0,8,0,3,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul White,,,1,,,,,,,,1,,,1,,,,,,,1,1,1,1,,,,,,1,1,,9,Email,12/4/15,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,0,2,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
George Willis,,,,1,,1,,,,,1,,,1,,1,,,1,,,1,1,1,1,,,,,,,,10,http://nyp.st/1Sb0EHC,1/6/15,,0,0,8,8,0,0,0,19,13,0,3,0,4,0,0,16,13,10,2,0,0,0,0,0,91,91,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Bernie Wilson,,,1,,,,,,,,1,,,1,,,,,1,,1,1,1,,1,1,,,1,,,,10,DM,12/21/15,,0,13,0,0,0,0,0,19,13,0,0,0,4,0,8,16,13,0,2,6,0,8,0,0,96,96,,,,,,,,,,,,,,,,,,,,,,,,,San Diego ,,
Steve Wine,,,,1,,1,,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,6,Email,12/14/15,,0,0,8,8,0,0,0,19,0,0,0,0,0,2,0,0,13,0,0,0,1,0,0,0,51,51,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Tom Yantz,,,1,,,,,,,,1,,,1,,,,,,,1,1,,1,,,,,,,,,6,http://cour.at/1NCmBJo,12/18/15,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,0,10,0,0,0,0,0,0,79,79,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Anonymous,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,1/6/16,,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,,,,,,,,1,,,1,,1,,1,,,1,,1,1,,1,,,1,1,,,10,,1/2/16,,0,0,0,0,0,0,0,19,13,0,3,8,0,0,8,0,13,10,0,6,0,8,2,0,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,,,,,,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,,6,,12/14/15,,0,0,0,0,0,0,0,19,13,0,0,8,0,0,0,0,13,0,0,6,0,8,0,0,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,1,,1,,,,,1,,,1,,,,,,1,,1,,,,1,1,,1,,,,9,,11/28/15,,0,0,8,8,0,0,0,19,13,0,0,0,0,2,0,16,0,0,0,6,1,8,0,0,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ballots Revealed After HoF Election Results Announced (*Revealed first on BBWAA.com),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Albee*,,,1,,,,,,,,1,,,1,,1,,,,,,1,1,,,,,,,,,,6,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,3,0,0,0,0,16,13,0,0,0,0,0,0,0,77,77,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jim Alexander*,,,,1,,1,,,,,1,,,1,,,,,,,,1,1,,,1,,,1,,,,8,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,6,0,8,0,0,91,91,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Edward B. Almada*,,,1,,,,,,,,1,,,1,,,,,,,1,1,1,1,,1,,,,1,,,9,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,6,0,0,2,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Dom Amore*,,,1,,,,,,,,1,,,1,,1,,1,,,1,1,1,1,,,,,,,,,9,http://bit.ly/1RltlSt,1/7/16,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Geoff Baker*,,,1,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,1,,,,6,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,8,0,13,10,0,0,0,8,0,0,71,71,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,,
David Barron*,,,1,,,1,,,,,1,,,1,,,,,,,1,1,1,1,,,,,1,1,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,8,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,8,2,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Houston,,
Steve Bisheff*,,,,,,,,,,,1,,,1,,,,1,,,,1,,1,,,,,,,,,5,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,8,0,0,0,16,0,10,0,0,0,0,0,0,66,66,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
John Black*,,,,1,,1,,,,,1,,,1,,,,,,1,,1,,,,1,,,,,,,7,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,8,8,0,0,0,19,13,0,0,0,0,2,0,16,0,0,0,6,0,0,0,0,72,72,,,,,,,,,,,,,,,,,,,,,,,,,Houston,,
Paul Bodi*,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,3,BBWAA.com/16-hof-ballots/,1/7/16,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,48,48,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Dan Bostrom*,,,1,1,,1,,,,,1,,,,,1,,,1,,1,1,1,,1,,,,,,,,10,BBWAA.com/16-hof-ballots/,1/13/16,,0,13,8,8,0,0,0,19,0,0,3,0,4,0,8,16,13,0,2,0,0,0,0,0,89,89,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Mark Bradley,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,1,,,,,1,,1,,10,http://bit.ly/1OPgrFe,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,,
Ray Buck*,,,1,,,1,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,6,BBWAA.com/16-hof-ballots/,1/10/16,,0,13,0,8,0,0,0,19,13,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,72,72,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Les Carpenter*,,,1,1,,1,,,,,1,,,1,,,,1,,,,1,1,1,,,,,1,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Joe Christensen*,,,1,1,,1,,,,,1,,,1,,,,,,,1,1,1,1,,,,,1,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,,
Tom Christensen*,,,1,,,,,1,,,1,,,,,,,,,,1,1,1,1,,,,,,,1,,8,BBWAA.com/16-hof-ballots/,1/11/16,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,0,0,3,82,82,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Frank Clines,,,,1,,1,,,,,1,,,1,,,,,,1,,1,1,,,1,,,1,,1,,10,http://bit.ly/1OCNNLV,1/7/16,,0,0,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,0,0,6,0,8,0,3,91,91,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,,
Bob Cohn,,,,,,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,,,1,,1,,10,http://bit.ly/1OD3wuj,1/7/16,,0,0,0,0,0,0,0,19,0,0,0,0,4,0,8,16,13,10,2,6,0,8,0,3,84,84,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,,
Roberto Colon,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,,,,1,,,,,,10,http://bit.ly/1SBdpdQ,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,0,0,0,1,0,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Greg Cote,,,1,1,,1,,,,,1,,,1,,,,,,,,1,,1,1,,,,,,,,8,http://hrld.us/1Z8sraK,1/7/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,0,10,2,0,0,0,0,0,89,89,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Guy Curtright*,,,,,,,,,,,1,,,1,,,,1,1,,1,,1,1,,1,,,1,1,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,8,4,0,8,0,13,10,0,6,0,8,2,0,85,85,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Tim Dahlberg*,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,,,,,,,4,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,53,53,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Dave Daniel*,,,1,1,,1,,,,,1,,,,,,,,,1,1,1,1,1,,,,,,,,,9,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,2,8,16,13,10,0,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Tony DeMarco*,,,,,,,,,,,1,,,1,,1,,1,,,1,,1,1,,1,,,1,,1,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,3,8,0,0,8,0,13,10,0,6,0,8,0,3,85,85,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Mike Dodd*,,,1,,,,,,,,1,,,1,,,,,,,1,1,,1,,1,,,1,,,,8,BBWAA.com/16-hof-ballots/,1/13/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,0,10,0,6,0,8,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
